Print lidar and camera based TTC
ORB, BRIEF, 14.6721, 22.8813, 33.1568, 18.2088, 22.6292, 25.596, 20.6442, 22.5768, 31.1907, 9.3198, 9.81314, 33.7448, 13.0739, 8.6355, 13.2985, 13.5261, 19.7838, 13.275, 
ORB, ORB, 17.0723, 68.5185, 10.9786, 47.5977, 23.903, 19.89, 16.4491, 26.4422, 18.8629, 12.7391, 7.95407, -inf, 9.53625, 7.08346, 12.7769, 9.68553, 15.7615, 25.8142, 
ORB, FREAK, 14.2922, 39.0637, 11.108, -4.78465e+06, 30.6334, 34.3495, 409.323, 8.85642, 56.354, -44.1724, 7.21741, 35.8486, 6.61977, 55.7876, 9.66002, 13.2379, 13.4004, 7.57184, 
ORB, AKAZE,  Assertion failed
ORB, SIFT, 13.1367, 12.4655, 10.6504, 559.244, 103.619, 53.4295, 13.1245, 10.639, 13.3292, 13.7339, 7.86163, -inf, 7.9182, 10.3191, 11.3627, 9.87294, 15.7615, 27.4756, 
AKAZE, BRISK, 12.1142, 14.0471, 13.0464, 14.5098, 13.937, 14.5215, 15.6927, 14.2651, 13.2568, 11.8188, 12.3486, 10.579, 10.0802, 9.84168, 9.52886, 10.3153, 9.76188, 9.28032, 
AKAZE, BRIEF, 13.6151, 14.5121, 13.7171, 15.0979, 15.8115, 13.9485, 15.1799, 14.2045, 17.3373, 12.2494, 12.8309, 11.205, 10.1078, 10.4776, 10.2331, 10.4517, 10.3672, 9.68508, 
AKAZE, ORB, 12.756, 13.6802, 13.2433, 14.2488, 14.9626, 13.5311, 15.4462, 13.9742, 12.5465, 11.479, 12.3557, 11.6029, 10.3789, 10.0811, 9.9088, 10.3674, 9.60554, 8.82253, 
AKAZE, FREAK, 12.3743, 13.3391, 13.7413, 13.4014, 14.698, 13.3052, 15.2979, 14.4557, 12.9722, 11.5891, 12.215, 10.4099, 10.2907, 9.74344, 9.26472, 9.937, 9.94376, 8.64373, 
AKAZE, AKAZE, 11.6121, 13.7353, 12.9881, 13.379, 15.0465, 12.9368, 15.2082, 14.0116, 12.8291, 11.5579, 12.3571, 10.9803, 10.2485, 10.4278, 9.94038, 10.0631, 9.23528, 8.7416, 
AKAZE, SIFT, 12.7436, 13.9674, 13.9164, 13.8305, 15.4244, 13.0137, 14.8899, 14.0346, 13.9647, 11.594, 12.449, 11.0775, 10.4357, 10.8514, 10.4095, 10.0016, 9.8896, 9.35621, 
SIFT, BRISK, 20.9542, 11.708, 12.5957, 26.0757, 16.3377, 8.70895, 14.1292, 11.7956, 11.0299, 9.25301, 10.6567, 9.414, 10.925, 10.621, 9.70663, 8.6137, 8.55616, 10.035, 
SIFT, BRIEF, 11.9733, 12.2223, 14.2149, 22.6477, 12.7535, 11.9837, 13.1027, 17.2019, 12.8401, 10.1713, 11.3346, 9.92912, 9.71614, 9.72656, 9.32969, 8.76753, 8.60281, 8.96286, 
SIFT, ORB,  Insufficient memory
SIFT, FREAK, 11.9591, 12.7566, 13.1561, 30.3047, 12.1322, 12.9303, -5.40338, 9.5005, 16.4555, 10.6978, 11.0632, 10.9503, 8.57075, 9.00379, 9.84747, 8.6137, 8.40431, 9.74583, 
SIFT, AKAZE,  Assertion failed
SIFT, SIFT, 11.2148, 17.9449, 13.5181, 31.8197, 13.7692, 13.852, 17.8266, 55.0776, 13.9086, 10.6371, 9.64888, 10.7375, 9.13466, 12.4096, 10.0504, 9.38692, 8.19496, 9.01264, 
